date,pm25,pm10,o3,no2,so2,co,AQI
2020-02-13,105,36,21,14,6,14,105
2020-02-14,105,39,19,10,5,14,105
2020-02-15,101,27,23,6,2,10,101
2020-02-16,83,23,33,7,3,8,83
2020-02-17,69,26,36,13,3,8,69
2020-02-18,72,29,43,17,5,10,72
2020-02-19,89,34,37,13,7,11,89
2020-02-20,100,49,42,20,6,14,100
2020-02-21,128,49,33,14,4,11,128
2020-02-22,140,53,42,14,6,13,140
2020-02-23,144,60,43,15,8,12,144
2020-02-24,128,55,43,12,9,14,128
2020-02-25,131,72,43,15,4,14,131
2020-02-26,160,57,27,9,4,16,160
2020-02-27,147,46,26,12,5,13,147
2020-02-28,123,17,17,9,3,13,123
2020-02-29,66,20,36,11,4,14,66
2020-03-01,83,39,34,8,3,12,83
2020-03-02,111,39,29,10,5,13,111
2020-03-03,106,29,23,10,2,10,106
2020-03-04,93,41,43,15,6,12,93
2020-03-05,124,55,52,15,6,9,124
2020-03-06,155,49,34,12,9,9,155
2020-03-07,146,44,44,14,6,12,146
2020-03-08,130,34,31,14,7,13,130
2020-03-09,115,49,37,8,3,9,115
2020-03-10,146,49,40,11,3,8,146
2020-03-11,138,61,46,20,6,10,138
2020-03-12,138,58,30,19,13,13,138
2020-03-13,153,74,33,16,3,10,153
2020-03-14,157,65,45,11,4,8,157
2020-03-15,148,67,52,19,4,6,148
2020-03-16,107,68,41,22,8,11,107
2020-03-17,142,64,59,25,6,9,142
2020-03-18,142,62,49,16,6,8,142
2020-03-19,136,57,57,19,5,8,136
2020-03-20,113,76,62,18,10,8,113
2020-03-21,111,62,36,19,8,14,111
2020-03-22,139,70,46,9,4,11,139
2020-03-23,145,64,66,17,8,14,145
2020-03-24,147,54,39,13,8,11,147
2020-03-25,127,42,25,12,6,11,127
2020-03-26,111,52,36,13,6,13,111
2020-03-27,99,21,26,6,3,6,99
2020-03-28,59,19,35,9,5,8,59
2020-03-29,62,18,29,10,4,8,62
2020-03-30,62,24,30,8,3,7,62
2020-03-31,71,37,23,13,4,7,71
2020-04-01,91,39,39,15,4,10,91
2020-04-02,101,46,45,13,3,8,101
2020-04-03,121,62,43,15,4,9,121
2020-04-04,156,60,61,18,5,10,156
2020-04-05,150,64,85,20,5,9,150
2020-04-06,151,55,52,17,5,7,151
2020-04-07,100,55,62,23,6,8,100
2020-04-08,112,55,70,30,4,7,112
2020-04-09,105,61,94,38,6,8,105
2020-04-10,126,60,25,13,3,6,126
2020-04-11,119,21,39,4,2,4,119
2020-04-12,47,46,65,15,3,5,65
2020-04-13,111,46,63,28,3,6,111
2020-04-14,101,51,57,30,10,7,101
2020-04-15,107,50,68,30,9,7,107
2020-04-16,100,63,72,24,12,9,100
2020-04-17,134,74,47,13,6,7,134
2020-04-18,118,55,42,14,3,10,118
2020-04-19,116,27,61,10,2,7,116
2020-04-20,84,49,33,26,4,9,84
2020-04-21,135,52,37,17,4,7,135
2020-04-22,109,58,55,25,9,11,109
2020-04-23,132,64,55,26,6,10,132
2020-04-24,135,54,53,24,4,6,135
2020-04-25,96,51,56,30,5,5,96
2020-04-26,88,57,59,28,5,6,88
2020-04-27,99,62,66,28,4,7,99
2020-04-28,110,59,82,32,8,13,110
2020-04-29,109,73,84,42,7,9,109
2020-04-30,130,71,51,34,6,10,130
2020-05-01,148,58,69,17,5,10,148
2020-05-02,150,67,59,23,4,9,150
2020-05-03,136,58,73,23,4,7,136
2020-05-04,112,72,65,35,6,14,112
2020-05-05,132,44,37,9,2,10,132
2020-05-06,127,52,34,16,6,15,127
2020-05-07,121,49,39,17,5,16,121
2020-05-08,119,29,35,12,2,11,119
2020-05-09,80,28,38,8,3,9,80
2020-05-10,79,31,54,13,2,8,79
2020-05-11,72,72,62,34,3,11,72
2020-05-12,99,70,74,28,5,6,99
2020-05-13,99,88,82,36,7,10,99
2020-05-14,137,59,40,23,5,10,137
2020-05-15,149,66,48,30,4,12,149
2020-05-16,158,47,53,27,3,10,158
2020-05-17,99,53,73,24,3,8,99
2020-05-18,105,68,59,19,4,6,105
2020-05-19,105,67,99,26,6,10,105
2020-05-20,101,72,55,28,8,12,101
2020-05-21,131,55,43,24,5,11,131
2020-05-22,118,60,96,32,5,7,118
2020-05-23,107,72,106,37,3,7,107
