date,pm25,pm10,o3,no2,so2,co,AQI
2019-01-02,131,56,13,37,3,12,131
2019-01-03,158,61,15,31,7,15,158
2019-01-04,165,72,16,28,4,14,165
2019-01-05,182,99,20,27,4,14,182
2019-01-06,224,116,16,34,7,20,224
2019-01-07,248,84,19,29,5,16,248
2019-01-08,190,70,18,24,3,15,190
2019-01-09,172,38,11,26,3,18,172
2019-01-10,120,30,11,23,3,12,120
2019-01-11,116,52,8,26,3,13,116
2019-01-12,163,81,22,34,8,20,163
2019-01-13,188,92,18,44,7,26,188
2019-01-14,190,73,11,30,6,20,190
2019-01-15,174,88,21,26,4,19,174
2019-01-16,199,77,19,27,6,15,199
2019-01-17,121,123,11,44,7,25,123
2019-01-18,187,108,11,45,6,22,187
2019-01-19,194,89,11,36,5,16,194
2019-01-20,179,105,30,28,7,18,179
2019-01-21,216,113,23,42,11,18,216
2019-01-22,219,103,35,45,8,15,219
2019-01-23,188,95,42,53,9,17,188
2019-01-24,191,93,47,52,9,17,191
2019-01-25,174,120,34,45,8,17,174
2019-01-26,204,115,21,31,9,17,204
2019-01-27,221,78,20,35,12,13,221
2019-01-28,167,92,15,30,5,12,167
2019-01-29,205,73,14,24,5,14,205
2019-01-30,177,49,7,20,3,15,177
2019-01-31,142,42,26,15,3,14,142
2019-02-01,134,64,41,22,4,13,134
2019-02-02,169,58,21,24,6,14,169
2019-02-03,156,77,30,18,4,10,156
2019-02-04,165,99,24,29,6,18,165
2019-02-05,189,96,36,22,6,14,189
2019-02-06,193,69,23,22,6,15,193
2019-02-07,165,88,20,9,2,12,165
2019-02-08,189,23,24,8,3,7,189
2019-02-09,78,32,20,8,2,7,78
2019-02-10,117,46,20,10,3,9,117
2019-02-11,153,60,25,19,3,10,153
2019-02-12,165,45,14,17,3,12,165
2019-02-13,131,49,13,16,3,11,131
2019-02-14,149,29,14,15,3,11,149
2019-02-15,110,41,11,17,3,12,110
2019-02-16,137,57,17,15,3,9,137
2019-02-17,158,68,26,16,4,8,158
2019-02-18,165,41,18,19,3,8,165
2019-02-19,139,56,19,21,4,10,139
2019-02-20,160,68,17,22,4,9,160
2019-02-21,168,65,21,20,3,10,168
2019-02-22,173,49,35,21,4,8,173
2019-02-23,140,54,12,31,4,9,140
2019-02-26,180,99,26,36,10,16,180
2019-02-27,195,44,27,17,3,8,195
2019-02-28,126,43,21,24,3,9,126
2019-03-01,122,40,16,24,3,10,122
2019-03-02,101,44,63,19,3,9,101
2019-03-03,148,66,46,24,4,7,148
2019-03-04,157,79,39,32,8,12,157
2019-03-05,156,48,28,24,5,9,156
2019-03-06,131,57,46,32,7,10,131
2019-03-07,133,70,49,22,7,8,133
2019-03-08,124,72,38,30,10,10,124
2019-03-09,153,88,50,33,6,10,153
2019-03-10,169,99,34,41,7,10,169
2019-03-11,171,92,31,47,5,9,171
2019-03-12,123,102,45,47,6,8,123
2019-03-13,142,105,33,45,11,11,142
2019-03-14,185,68,48,24,4,8,185
2019-03-15,149,83,44,42,4,10,149
2019-03-16,148,95,63,41,11,12,148
2019-03-17,151,88,42,44,8,13,151
2019-03-18,156,70,46,26,5,10,156
2019-03-19,155,76,41,28,10,14,155
